Longitude,Latitude,Safety Score
-1.58454,52.29014,66.57050339
-1.5845361,52.2901428,59.45245805
-1.58442,52.29019,66.57050339
-1.58405,52.29035,66.57050339
-1.58365,52.29047,66.57050339
-1.58311,52.29086,66.57050339
-1.58309,52.29081,66.57050339
-1.5830862,52.290809,52.21666176
-1.5830234,52.2909716,52.21666176
-1.58302,52.29097,66.57050339
-1.58299,52.29071,66.57050339
-1.5829859,52.2907119,52.21666176
-1.58286,52.29094,66.57050339
-1.58276,52.29093,71.48071828
-1.58259,52.29094,61.66028849
-1.58167,52.29095,66.57050339
-1.58136,52.29092,66.57050339
-1.58082,52.29081,66.57050339
-1.58028,52.29064,66.57050339
-1.58019,52.29057,71.48071828
-1.58014,52.29051,66.57050339
-1.58006,52.29026,66.57050339
-1.57997,52.29015,66.57050339
-1.57979,52.29004,66.57050339
-1.57966,52.28998,66.57050339
-1.579364,52.2899038,52.21666176
-1.57936,52.2899,66.57050339
-1.5792,52.28991,66.57050339
-1.57908,52.28997,66.57050339
-1.57894,52.29001,66.57050339
-1.57887,52.29001,61.66028849
-1.5785805,52.2899654,52.21666176
-1.57858,52.28997,66.57050339
-1.5783038,52.291387,52.21666176
-1.5783,52.29139,66.57050339
-1.57827,52.29054,61.66028849
-1.5782611,52.2914035,52.21666176
-1.57826,52.2914,71.48071828
-1.57826,52.29141,61.66028849
-1.57822,52.29134,66.57050339
-1.57815,52.29078,71.48071828
-1.57814,52.2913,66.57050339
-1.57803,52.29125,71.48071828
-1.57801,52.29134,66.57050339
-1.57799,52.29134,61.66028849
-1.57794,52.29121,61.66028849
-1.57793,52.29122,61.66028849
-1.57789,52.2913,66.57050339
-1.5778892,52.2913023,52.21666176
-1.57778,52.29117,71.48071828
-1.57764,52.29116,61.66028849
-1.57753,52.29114,71.48071828
-1.57742,52.29111,61.66028849
-1.57684,52.29094,66.57050339
-1.57659,52.29084,61.66028849
-1.57535,52.29034,61.66028849
-1.57507,52.29023,66.57050339
-1.57412,52.28994,61.66028849
-1.57311,52.28964,71.48071828
-1.5725,52.28947,44.71007241
-1.57167,52.28924,56.05764421
-1.57006,52.2888,44.76192377
-1.570058,52.286249,50.60033026
-1.56897,52.2885,56.78348881
-1.56838,52.28835,46.96305902
-1.56762,52.28815,45.52205642
-1.56727,52.28806,54.98833977
-1.5668,52.28796,45.72036093
-1.5667,52.28793,55.54079072
-1.56659,52.28788,45.78259645
-1.56656,52.28788,55.60302624
-1.56643,52.28788,45.78259645
-1.5663,52.28787,55.60302624
-1.56596,52.28782,44.95819154
-1.56568,52.28776,54.73834798
-1.5655,52.28772,44.91791819
-1.56534,52.28766,49.9030295
-1.56522,52.2876,49.9030295
-1.56515,52.28753,54.81324439
-1.56509,52.28748,44.9928146
-1.56501,52.28743,49.9030295
-1.56499,52.28744,44.9928146
-1.56498,52.28742,45.17683524
-1.56498,52.28746,45.17683524
-1.56476,52.28752,45.17683524
-1.56476,52.28757,45.17683524
-1.56472,52.28731,54.99726504
-1.56445,52.28726,54.92171643
-1.56437,52.28766,45.10128664
-1.56431,52.28574,57.68167511
-1.56422,52.28592,56.79969926
-1.56413,52.28726,54.81638701
-1.5641,52.28775,44.99595722
-1.56407,52.28619,57.06505768
-1.56386,52.28648,54.84188444
-1.56382,52.28727,54.81638701
-1.56382,52.28784,44.99595722
-1.56379,52.28656,54.77098977
-1.56333,52.28726,54.81638701
-1.56332,52.28552,58.20855806
-1.56326,52.28549,58.14222067
-1.56319,52.28644,54.84188444
-1.56318,52.2854,58.14222067
-1.56298,52.28821,44.69986589
-1.56292,52.28721,54.90272569
-1.56291,52.2851,58.84442199
-1.56258,52.28525,58.84442199
-1.56206,52.28705,55.0102402
-1.56201,52.28866,42.31391726
-1.56199,52.2856,57.49935225
-1.56179,52.28874,42.64604514
-1.56141,52.28885,42.59122601
-1.56127,52.28683,53.29083624
-1.56105,52.28675,53.06142883
-1.56102,52.28634,53.45756347
-1.56092,52.28669,53.61613556
-1.56086,52.28683,53.48233038
-1.56084,52.28665,53.63055648
-1.56082,52.28662,53.93670897
-1.56078,52.28681,53.48233038
-1.56076,52.28646,53.37766459
-1.56075,52.28658,53.63055648
-1.56066,52.28653,53.68381708
-1.56064,52.28655,53.63055648
-1.56061,52.28658,53.63055648
-1.56055,52.28646,53.37766459
-1.56041,52.28639,55.41914266
-1.56032,52.28636,55.11299017
-1.56024,52.28633,57.80550474
-1.56011,52.2863,57.49935225
-1.56007,52.28628,57.80550474
-1.56007,52.28924,43.22313454
-1.55979,52.28617,57.49935225
-1.55954,52.28937,43.22313454
-1.55937,52.28603,57.80550474
-1.55918,52.28946,43.22313454
-1.5591778,52.2894565,48.25110039
-1.55897,52.2859,57.49935225
-1.55874,52.28582,57.80550474
-1.55855,52.2895,43.5234292
-1.55808,52.28554,57.05672382
-1.55803,52.2855,54.53245903
-1.55795,52.28544,54.53245903
-1.55792,52.28945,45.26749034
-1.5579,52.28542,54.22630654
-1.55786,52.28541,54.53245903
-1.55777,52.2854,54.53245903
-1.55773,52.28538,54.22630654
-1.55769,52.28536,54.53245903
-1.55704,52.28502,55.27762314
-1.5567,52.28944,45.60959042
-1.55646,52.28471,55.43069938
-1.55642,52.28464,55.58377562
-1.55636,52.28459,55.58377562
-1.55604,52.28443,55.58377562
-1.55596,52.28439,55.58377562
-1.55584,52.28434,55.77737676
-1.55544,52.28476,55.27762314
-1.55518,52.28951,44.39153731
-1.55485,52.28376,55.0974391
